Название,Зарплата,Опыт,Режим работы,Категория,min_salary,max_salary
"Специалист по работе с корпоративными клиентами (чат, е-mail)","от 47 500 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Поддержка клиентов,47500.0,47500.0
Вахтер,"от 22 450 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,22450.0,22450.0
Сторож-вахтер,"от 22 450 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Другое,22450.0,22450.0
Администратор склада (транспортная логистика),"от 55 035 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Менеджмент,55035.0,55035.0
Продавец-кассир (Комсомольский район),"38 000 – 40 500 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,38000.0,40500.0
Консультант по банковским продуктам в Т-Банк,"от 40 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,40000.0,40000.0
Tехник по катафорезному грунту автомобиля,"120 000 – 180 000 ₽ за месяц, до вычета налогов",Опыт 3-6 лет,На месте работодателя,Автомобильная сфера,120000.0,180000.0
Продавец в магазин строительного оборудования и инструмента,"от 55 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,55000.0,55000.0
Продавец-консультант (ТЦ Мадагаскар),"40 000 – 80 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,40000.0,80000.0
Электромонтер по ремонту и обслуживанию электрооборудования,"от 29 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Другое,29000.0,29000.0
"Сборщик/Комплектовщик онлайн заказов (Южное ш., 4)","до 80 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Сфера доставки,80000.0,80000.0
Электрогазосварщик,"до 452 000 ₽ за вахту, до вычета налогов",Опыт 3-6 лет,Вахта,Другое,452000.0,452000.0
Электромонтажник по силовым сетям и электрооборудованию,"60 000 – 90 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Промышленность,60000.0,90000.0
Менеджер по проектным продажам,"57 500 – 270 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,57500.0,270000.0
Инженер-конструктор,"от 90 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Промышленность,90000.0,90000.0
Оператор пункта выдачи Озон,"от 29 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Поддержка клиентов,29000.0,29000.0
"Дизайнер (junior/middle) / Проекты по дизайну из разных областей / Web, UX/UI, сайты, 3d","10 000 – 150 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,10000.0,150000.0
Прораб отделочных работ,"80 000 – 120 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Промышленность,80000.0,120000.0
Ассистент отдела сервиса,"40 000 – 70 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,На месте работодателя,Другое,40000.0,70000.0
Су-шеф в Osteria Mario,"от 70 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,70000.0,70000.0
Консультант T-Банка,"от 40 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,40000.0,40000.0
Продавец памятников / Менеджер по работе с клиентами (входящий трафик),"50 000 – 95 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,50000.0,95000.0
Консультант по банковским продуктам,"от 40 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Другое,40000.0,40000.0
"Кассир (Революционная, 42)","от 46 000 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Продажи,46000.0,46000.0
Электромонтажник,"от 300 000 ₽ за вахту, на руки",Опыт 3-6 лет,Вахта,Промышленность,300000.0,300000.0
Менеджер по работе с клиентами,"от 80 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Менеджмент,80000.0,80000.0
Менеджер по качеству и метрологии,"50 000 – 60 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Менеджмент,50000.0,60000.0
Инженер-конструктор,"от 130 000 ₽ за месяц, на руки",Опыт более 6 лет,На месте работодателя,Промышленность,130000.0,130000.0
Продавец сладостей,"80 000 – 200 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,80000.0,200000.0
Специалист по кадровому делопроизводству,"50 000 – 55 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Другое,50000.0,55000.0
Программист-разработчик Bitrix,"до 100 000 ₽ за месяц, на руки",Опыт 1-3 года,Можно удалённо,IT,100000.0,100000.0
Специалист по лазерной эпиляции / Медицинская сестра/брат,"45 000 – 80 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Медицина,45000.0,80000.0
Продавец косметики ИВ РОШЕ в ТЦ Русь на Волге,"40 000 – 60 000 ₽ за месяц, на руки",Без опыта,На месте работодателя,Продажи,40000.0,60000.0
Бухгалтер,"от 50 000 ₽ за месяц, на руки",Опыт 1-3 года,На месте работодателя,Финансы/бухгалтерия,50000.0,50000.0
Оператор по работе с клиентами,"37 000 – 44 400 ₽ за месяц, до вычета налогов",Без опыта,На месте работодателя,Поддержка клиентов,37000.0,44400.0
Оператор call-центра (удаленно),"55 000 – 70 000 ₽ за месяц, на руки",Без опыта,Можно удалённо,Поддержка клиентов,55000.0,70000.0
Оператор контактного центра на дому,"45 000 – 55 000 ₽ за месяц, до вычета налогов",Без опыта,Можно удалённо,Поддержка клиентов,45000.0,55000.0
